keys,transactionSize,rangeSize,communities,rangeLocked,communityLocked
100000,10,15,15,46662,13317
100000,10,20,20,40000,4914
100000,10,25,25,28000,7917
100000,10,30,30,29997,6561
100000,10,10,10,60000,20105
100000,10,15,15,53328,13278
100000,10,20,20,45000,10005
100000,10,25,25,32000,16298
100000,10,30,30,29997,6641
100000,10,10,10,60000,19846
100000,10,15,15,46662,13175
100000,10,20,20,40000,20024
100000,10,25,25,40000,7882
100000,10,30,30,23331,6813
100000,10,10,10,60000,30070
100000,10,15,15,59994,13467
100000,10,20,20,40000,9947
100000,10,25,25,36000,7966
100000,10,30,30,29997,10066
100000,10,10,10,60000,10097
100000,10,15,15,66660,13491
100000,10,20,20,45000,5005
100000,10,25,25,40000,12119
100000,10,30,30,26664,3397
100000,10,10,10,70000,29644
100000,10,15,15,46662,6799
100000,10,20,20,45000,10006
100000,10,25,25,40000,4028
100000,10,30,30,26664,3253
100000,10,10,10,80000,19925
100000,10,15,15,53328,13490
100000,10,20,20,40000,15025
100000,10,25,25,36000,3995
100000,10,30,30,23331,6563
100000,10,10,10,70000,10048
